word|state|url|audio
arrive|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230130_19.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-39389-merge.wav|arrive.wav
art|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230150_19.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-78678-merge.wav|art.wav
ask|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230208_18.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-07642-merge.wav|ask.wav
at 10 o'clock|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230230_21.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len13-92701-merge.wav|at 10 o'clock.wav
at first|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230251_20.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len8-28914-merge.wav|at first.wav
at night|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230312_20.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len8-65415-merge.wav|at night.wav
at the same time|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230335_22.2s-seed12.pt-temp1e-05-top_p0.501-top_k12-len16-93930-merge.wav|at the same time.wav
ate|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230354_19.0s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-71563-merge.wav|ate.wav
august|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230413_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-65391-merge.wav|august.wav
aunt|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230432_18.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-44243-merge.wav|aunt.wav
australia|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230451_19.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len9-95711-merge.wav|australia.wav
australian|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230511_19.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len10-83722-merge.wav|australian.wav
autumn|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230530_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-00812-merge.wav|autumn.wav
away|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230549_19.0s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-72873-merge.wav|away.wav
baby|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230609_19.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-40788-merge.wav|baby.wav
back|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230628_19.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-07374-merge.wav|back.wav
bad|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230648_18.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-50194-merge.wav|bad.wav
bag|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230706_18.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len3-25451-merge.wav|bag.wav
ball|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230725_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-98722-merge.wav|ball.wav
balloon|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230745_19.5s-seed12.pt-temp1e-05-top_p0.501-top_k12-len7-91744-merge.wav|balloon.wav
bamboo|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230804_18.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-74891-merge.wav|bamboo.wav
banana|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230823_19.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-52443-merge.wav|banana.wav
bark|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230842_19.0s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-67795-merge.wav|bark.wav
baseball|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230902_19.6s-seed12.pt-temp1e-05-top_p0.501-top_k12-len8-88056-merge.wav|baseball.wav
basketball|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230921_19.3s-seed12.pt-temp1e-05-top_p0.501-top_k12-len10-05113-merge.wav|basketball.wav
be able to|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-230943_21.7s-seed12.pt-temp1e-05-top_p0.501-top_k12-len10-07524-merge.wav|be able to.wav
be interested in|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231005_21.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len16-84905-merge.wav|be interested in.wav
beach|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231024_19.4s-seed12.pt-temp1e-05-top_p0.501-top_k12-len5-48567-merge.wav|beach.wav
bear|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231044_19.1s-seed12.pt-temp1e-05-top_p0.501-top_k12-len4-79884-merge.wav|bear.wav
beautiful|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231103_18.8s-seed12.pt-temp1e-05-top_p0.501-top_k12-len9-28774-merge.wav|beautiful.wav
became|success|http://ikuai.safepayer.cn:49966/static/wavs/0412-231122_18.9s-seed12.pt-temp1e-05-top_p0.501-top_k12-len6-66732-merge.wav|became.wav
